Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,NewHampshire,NewJersey,NewMexico,NewYork,NorthCarolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,WestVirginia,Wisconsin,Wyoming
1925,65,25.3,59.1,61.8,57.1,44.6,47.9,70.4,70.4,65,44.1,51.8,51.6,47.5,54.6,56.4,67.4,38.8,54,46.7,42.7,39.8,65.1,55,42.2,48.7,50,41.6,51.1,53.2,44,59.6,40.1,50.1,60.9,47.4,47.8,48.3,63.7,45,59.3,65.5,47.4,40.7,55.3,47.8,51.9,42,41.5
1926,62.9,29.8,59.6,60.3,58.8,44.7,45.7,69.3,69.3,63,44.2,50.4,50,47.1,54.1,54.8,66.2,37.1,52.2,44.3,40.8,38.8,63.5,53.8,42.5,48.9,51.5,39.3,48.9,52.5,41.7,58.4,40.2,48.8,59.3,48.1,46.2,45.9,62.4,45,57.4,64,48.6,38.2,54,47.9,50.5,40.2,41.4
1927,65.6,23.9,59.5,62,56.9,44.5,47.9,71.1,71.1,65.3,42.2,52,52,47.6,53.8,56.5,68.7,40.2,53.7,47.2,43.3,38.6,66,55,38.6,47.6,49.8,42.6,50.9,53.9,44.5,59.4,37.5,50.8,60.6,45.8,48.4,48.6,63.6,42.7,59.3,66.4,47.7,41.6,55.2,45.1,52.2,41.6,39.7
1928,62.5,26.9,59.6,60.1,57.7,43.9,47.8,69.2,69.2,62.7,42.3,51.4,50.6,48.2,54,54.7,65.8,39.3,53.3,46.8,42.8,40.5,63.2,54.4,41.2,48.5,50,42.3,50.8,52.7,44.4,58.1,40.7,49.9,59.9,46.5,47.9,48.1,61.9,45.2,57,64.5,47.7,41.3,54.3,46.4,50.8,42.3,39.9
1929,63.4,27.6,58.5,59.7,57.2,42.5,47.7,70.7,70.7,63.7,40.8,49.9,49.9,45.2,52.2,55,66.1,39.3,53.8,46.8,41.6,37.5,63.6,52.8,38.8,46.3,49.2,42,51.3,51.7,44.1,58.6,37.3,49.3,58.5,45.1,47.9,48.1,62.4,42.1,57.4,64,46.4,40.9,54.7,44.4,51.2,39.9,38.4
1930,63.3,25.3,58.5,60.8,56.9,43.6,48.6,69.2,69.2,62.9,41.6,52.6,52,49,54.4,56.4,66.1,40.7,54.5,47.8,44.2,41.2,63.8,55.2,41.6,48.8,48.7,43,51.7,52.2,45.2,58.6,40.8,51.2,60,45.4,48.8,49.5,62.1,45.6,58.1,64.2,46.2,42.2,55.3,45.2,51.9,43.4,40.1
1931,64.1,26.7,59.2,61.7,58.3,45,49.6,69.9,69.9,64.3,42.6,54.9,54.2,52,56.3,57.8,66.6,42.1,55.5,48.7,47,45,64.3,57.2,43.8,51.3,50.2,44.1,53.3,52.5,46.7,59.6,44.2,52.9,61.2,46.8,50.4,50,63.4,48.7,59.3,64.7,47.6,43.2,56.4,46.5,53.5,47,41.8
1932,64,23.9,58.4,61.2,56.9,43.7,48.8,71,71,64.6,40.9,52.1,51.9,47,53.6,56.6,66.8,40.9,54.7,47.6,44.1,39.6,64.3,54.9,40.5,47.7,48.1,43.2,52.2,51.6,45.4,60,39.4,51.3,59.7,45.6,49.2,49.2,63.9,44,58.7,63.9,45.9,42.3,56,45.5,52.8,42.2,39.2
1933,65.1,23,58.8,62.3,56.7,45.4,48.4,70.9,70.9,65,42.5,53.6,53.2,49.5,56.7,57.4,68.5,39.6,54.6,47.1,44.3,40.4,65.9,56.5,42,50.6,48.7,42.3,51.9,52.9,45.3,60.5,40.6,52,62,46,49.3,48.5,64.3,46.7,59.5,66.6,47.2,41.7,56.3,45.4,52.9,43.2,42
1934,63.4,26.4,61.7,62,59.7,48,47.2,69.8,69.8,63.5,46.9,53.2,52.4,50.2,57.5,56.5,67.1,38.6,53.3,46,43.3,41.4,64.6,56.6,44.9,52,53,41.3,50.5,55.3,43.7,58.8,42.8,51,62.1,49.9,48.1,47.2,62.6,48.2,58.4,66.5,51.3,40.2,54.9,49.1,51.8,43.4,44.5
